"No.","Time","Source","Destination","Protocol","Source Port","Dest Port","Length","Info"
"27","2020-07-17 12:52:28.592199365","192.168.56.104","192.168.56.105","TCP","80","46740","74","80  >  46740 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369803 TSecr=4192439325 WS=128"
"28","2020-07-17 12:52:28.592222365","192.168.56.105","192.168.56.104","TCP","46740","80","66","46740  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439325 TSecr=369803"
"29","2020-07-17 12:52:28.592332321","192.168.56.105","192.168.56.104","HTTP","46740","80","362","GET /app/main.2217590b5cc5d0b62058.bundle.js HTTP/1.1 "
"30","2020-07-17 12:52:28.592559260","192.168.56.104","192.168.56.105","TCP","80","46740","66","80  >  46740 [ACK] Seq=1 Ack=297 Win=30080 Len=0 TSval=369804 TSecr=4192439325"
"31","2020-07-17 12:52:28.594612653","192.168.56.105","192.168.56.104","TCP","46730","80","66","46730  >  80 [FIN, ACK] Seq=610 Ack=3187 Win=64128 Len=0 TSval=4192439328 TSecr=369803"
"32","2020-07-17 12:52:28.594917900","192.168.56.105","192.168.56.104","TCP","46736","80","66","46736  >  80 [FIN, ACK] Seq=313 Ack=1 Win=64256 Len=0 TSval=4192439328 TSecr=369803"
"33","2020-07-17 12:52:28.595599150","192.168.56.105","192.168.56.104","TCP","46738","80","66","46738  >  80 [FIN, ACK] Seq=310 Ack=1 Win=64256 Len=0 TSval=4192439329 TSecr=369803"
"34","2020-07-17 12:52:28.596731863","192.168.56.105","192.168.56.104","TCP","46740","80","66","46740  >  80 [FIN, ACK] Seq=297 Ack=1 Win=64256 Len=0 TSval=4192439330 TSecr=369804"
"35","2020-07-17 12:52:28.632633861","192.168.56.104","192.168.56.105","TCP","80","46738","66","80  >  46738 [ACK] Seq=1 Ack=311 Win=30080 Len=0 TSval=369814 TSecr=4192439329"
"36","2020-07-17 12:52:28.632670860","192.168.56.104","192.168.56.105","TCP","80","46736","66","80  >  46736 [ACK] Seq=1 Ack=314 Win=30080 Len=0 TSval=369814 TSecr=4192439328"
"37","2020-07-17 12:52:28.632677240","192.168.56.104","192.168.56.105","TCP","80","46730","66","80  >  46730 [ACK] Seq=3187 Ack=611 Win=31104 Len=0 TSval=369814 TSecr=4192439328"
"38","2020-07-17 12:52:28.637025213","192.168.56.104","192.168.56.105","TCP","80","46740","66","80  >  46740 [ACK] Seq=1 Ack=298 Win=30080 Len=0 TSval=369815 TSecr=4192439330"
"39","2020-07-17 12:52:28.648959045","192.168.56.104","192.168.56.105","HTTP","80","46730","1099","HTTP/1.1 200 OK  (text/css)"
"40","2020-07-17 12:52:28.649021182","192.168.56.105","192.168.56.104","TCP","46730","80","54","46730  >  80 [RST] Seq=611 Win=0 Len=0"
"41","2020-07-17 12:52:28.650603141","192.168.56.104","192.168.56.105","HTTP","80","46736","2175","HTTP/1.1 200 OK  (text/css)"
"42","2020-07-17 12:52:28.650620286","192.168.56.105","192.168.56.104","TCP","46736","80","54","46736  >  80 [RST] Seq=314 Win=0 Len=0"
"43","2020-07-17 12:52:28.666405495","192.168.56.105","192.168.56.104","TCP","46742","80","74","46742  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439399 TSecr=0 WS=128"
"44","2020-07-17 12:52:28.666753623","192.168.56.104","192.168.56.105","TCP","80","46742","74","80  >  46742 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369822 TSecr=4192439399 WS=128"
"45","2020-07-17 12:52:28.666800158","192.168.56.105","192.168.56.104","TCP","46742","80","66","46742  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439400 TSecr=369822"
"46","2020-07-17 12:52:28.667220553","192.168.56.105","192.168.56.104","HTTP","46742","80","389","GET /content/images/logo-jhipster.png HTTP/1.1 "
"47","2020-07-17 12:52:28.667458078","192.168.56.104","192.168.56.105","TCP","80","46742","66","80  >  46742 [ACK] Seq=1 Ack=324 Win=30080 Len=0 TSval=369822 TSecr=4192439400"
"48","2020-07-17 12:52:28.668416057","192.168.56.105","192.168.56.104","TCP","46742","80","66","46742  >  80 [FIN, ACK] Seq=324 Ack=1 Win=64256 Len=0 TSval=4192439401 TSecr=369822"
"49","2020-07-17 12:52:28.708705403","192.168.56.104","192.168.56.105","TCP","80","46742","66","80  >  46742 [ACK] Seq=1 Ack=325 Win=30080 Len=0 TSval=369833 TSecr=4192439401"
"50","2020-07-17 12:52:28.745139474","192.168.56.104","192.168.56.105","TCP","80","46740","7306","80  >  46740 [ACK] Seq=1 Ack=298 Win=30080 Len=7240 TSval=369842 TSecr=4192439330 [TCP segment of a reassembled PDU]"
"51","2020-07-17 12:52:28.745164802","192.168.56.105","192.168.56.104","TCP","46740","80","54","46740  >  80 [RST] Seq=298 Win=0 Len=0"
"52","2020-07-17 12:52:28.745251466","192.168.56.104","192.168.56.105","TCP","80","46740","7306","HTTP/1.1 200 OK  [TCP segment of a reassembled PDU]"
"53","2020-07-17 12:52:28.745258983","192.168.56.105","192.168.56.104","TCP","46740","80","54","46740  >  80 [RST] Seq=298 Win=0 Len=0"
"54","2020-07-17 12:52:28.754808442","192.168.56.104","192.168.56.105","TCP","80","46742","14546","80  >  46742 [ACK] Seq=1 Ack=325 Win=30080 Len=14480 TSval=369844 TSecr=4192439401 [TCP segment of a reassembled PDU]"
"55","2020-07-17 12:52:28.754829502","192.168.56.105","192.168.56.104","TCP","46742","80","54","46742  >  80 [RST] Seq=325 Win=0 Len=0"
"56","2020-07-17 12:52:28.757131284","192.168.56.104","192.168.56.105","TCP","80","46738","14546","80  >  46738 [ACK] Seq=1 Ack=311 Win=30080 Len=14480 TSval=369845 TSecr=4192439329 [TCP segment of a reassembled PDU]"
"57","2020-07-17 12:52:28.757162380","192.168.56.105","192.168.56.104","TCP","46738","80","54","46738  >  80 [RST] Seq=311 Win=0 Len=0"
"58","2020-07-17 12:52:29.101984274","192.168.56.105","192.168.56.104","TCP","46744","80","74","46744  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439835 TSecr=0 WS=128"
"59","2020-07-17 12:52:29.102303907","192.168.56.104","192.168.56.105","TCP","80","46744","74","80  >  46744 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369931 TSecr=4192439835 WS=128"
"60","2020-07-17 12:52:29.102328093","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439835 TSecr=369931"
"61","2020-07-17 12:52:29.102508168","192.168.56.105","192.168.56.104","HTTP","46744","80","312","GET /favicon.ico HTTP/1.1 "
"62","2020-07-17 12:52:29.102729435","192.168.56.104","192.168.56.105","TCP","80","46744","66","80  >  46744 [ACK] Seq=1 Ack=247 Win=30080 Len=0 TSval=369931 TSecr=4192439835"
"63","2020-07-17 12:52:29.117964406","192.168.56.105","192.168.56.104","TCP","46746","80","74","46746  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439851 TSecr=0 WS=128"
"64","2020-07-17 12:52:29.118246303","192.168.56.104","192.168.56.105","TCP","80","46746","74","80  >  46746 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369935 TSecr=4192439851 WS=128"
"65","2020-07-17 12:52:29.118269623","192.168.56.105","192.168.56.104","TCP","46746","80","66","46746  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439851 TSecr=369935"
"66","2020-07-17 12:52:29.118465371","192.168.56.105","192.168.56.104","HTTP","46746","80","364","GET /api/account HTTP/1.1 "
"67","2020-07-17 12:52:29.118715304","192.168.56.104","192.168.56.105","TCP","80","46746","66","80  >  46746 [ACK] Seq=1 Ack=299 Win=30080 Len=0 TSval=369935 TSecr=4192439851"
"68","2020-07-17 12:52:29.119882750","192.168.56.105","192.168.56.104","TCP","46748","80","74","46748  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439853 TSecr=0 WS=128"
"69","2020-07-17 12:52:29.120111194","192.168.56.104","192.168.56.105","TCP","80","46748","74","80  >  46748 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369935 TSecr=4192439853 WS=128"
"70","2020-07-17 12:52:29.120129583","192.168.56.105","192.168.56.104","TCP","46748","80","66","46748  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439853 TSecr=369935"
"71","2020-07-17 12:52:29.120233376","192.168.56.105","192.168.56.104","HTTP","46748","80","368","GET /management/info HTTP/1.1 "
"72","2020-07-17 12:52:29.120465324","192.168.56.104","192.168.56.105","TCP","80","46748","66","80  >  46748 [ACK] Seq=1 Ack=303 Win=30080 Len=0 TSval=369935 TSecr=4192439853"
"73","2020-07-17 12:52:29.245903242","192.168.56.104","192.168.56.105","HTTP","80","46744","2519","HTTP/1.1 200 OK  (PNG)"
"74","2020-07-17 12:52:29.245933476","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=247 Ack=2454 Win=63488 Len=0 TSval=4192439979 TSecr=369967"
"75","2020-07-17 12:52:29.694526939","192.168.56.104","192.168.56.105","TCP","80","46748","1160","80  >  46748 [PSH, ACK] Seq=1 Ack=303 Win=30080 Len=1094 TSval=370079 TSecr=4192439853 [TCP segment of a reassembled PDU]"
"76","2020-07-17 12:52:29.694563206","192.168.56.105","192.168.56.104","TCP","46748","80","66","46748  >  80 [ACK] Seq=303 Ack=1095 Win=64128 Len=0 TSval=4192440427 TSecr=370079"
"77","2020-07-17 12:52:29.716040308","192.168.56.104","192.168.56.105","TCP","80","46748","82","80  >  46748 [PSH, ACK] Seq=1095 Ack=303 Win=30080 Len=16 TSval=370084 TSecr=4192440427 [TCP segment of a reassembled PDU]"
"78","2020-07-17 12:52:29.716064089","192.168.56.105","192.168.56.104","TCP","46748","80","66","46748  >  80 [ACK] Seq=303 Ack=1111 Win=64128 Len=0 TSval=4192440449 TSecr=370084"
"79","2020-07-17 12:52:29.721173550","192.168.56.104","192.168.56.105","HTTP","80","46748","71","HTTP/1.1 200 OK  (application/json)"
"80","2020-07-17 12:52:29.721193999","192.168.56.105","192.168.56.104","TCP","46748","80","66","46748  >  80 [ACK] Seq=303 Ack=1116 Win=64128 Len=0 TSval=4192440454 TSecr=370086"
"81","2020-07-17 12:52:29.744464882","192.168.56.104","192.168.56.105","TCP","80","46746","1128","80  >  46746 [PSH, ACK] Seq=1 Ack=299 Win=30080 Len=1062 TSval=370091 TSecr=4192439851 [TCP segment of a reassembled PDU]"
"82","2020-07-17 12:52:29.744486087","192.168.56.105","192.168.56.104","TCP","46746","80","66","46746  >  80 [ACK] Seq=299 Ack=1063 Win=64128 Len=0 TSval=4192440477 TSecr=370091"
"83","2020-07-17 12:52:29.748688695","192.168.56.104","192.168.56.105","HTTP","80","46746","71","HTTP/1.1 401 Unauthorized  (application/problem+json)"
"84","2020-07-17 12:52:29.748701422","192.168.56.105","192.168.56.104","TCP","46746","80","66","46746  >  80 [ACK] Seq=299 Ack=1068 Win=64128 Len=0 TSval=4192440482 TSecr=370092"
"85","2020-07-17 12:52:36.955177824","192.168.56.106","192.168.56.100","DHCP","68","67","342","DHCP Request  - Transaction ID 0x266c234d"
"86","2020-07-17 12:52:36.974663180","192.168.56.100","192.168.56.106","DHCP","67","68","590","DHCP ACK      - Transaction ID 0x266c234d"
"87","2020-07-17 12:52:38.851674589","192.168.56.105","192.168.56.104","HTTP","46744","80","515","POST /api/authenticate HTTP/1.1  (application/json)"
"88","2020-07-17 12:52:38.852158719","192.168.56.104","192.168.56.105","TCP","80","46744","66","80  >  46744 [ACK] Seq=2454 Ack=696 Win=31104 Len=0 TSval=372368 TSecr=4192449585"
"89","2020-07-17 12:52:39.743383684","192.168.56.105","192.168.56.104","TCP","46748","80","66","[TCP Keep-Alive] 46748  >  80 [ACK] Seq=302 Ack=1116 Win=64128 Len=0 TSval=4192450476 TSecr=370086"
"90","2020-07-17 12:52:39.743721671","192.168.56.104","192.168.56.105","TCP","80","46748","66","[TCP Keep-Alive ACK] 80  >  46748 [ACK] Seq=1116 Ack=303 Win=30080 Len=0 TSval=372591 TSecr=4192440454"
"91","2020-07-17 12:52:39.771622301","192.168.56.105","192.168.56.104","TCP","46746","80","66","[TCP Keep-Alive] 46746  >  80 [ACK] Seq=298 Ack=1068 Win=64128 Len=0 TSval=4192450505 TSecr=370092"
"92","2020-07-17 12:52:39.771899328","192.168.56.104","192.168.56.105","TCP","80","46746","66","[TCP Keep-Alive ACK] 80  >  46746 [ACK] Seq=1068 Ack=299 Win=30080 Len=0 TSval=372598 TSecr=4192440482"
"93","2020-07-17 12:52:40.016287192","192.168.56.104","192.168.56.105","TCP","80","46744","1317","80  >  46744 [PSH, ACK] Seq=2454 Ack=696 Win=31104 Len=1251 TSval=372659 TSecr=4192449585 [TCP segment of a reassembled PDU]"
"94","2020-07-17 12:52:40.016322641","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=696 Ack=3705 Win=64128 Len=0 TSval=4192450749 TSecr=372659"
"95","2020-07-17 12:52:40.023620680","192.168.56.104","192.168.56.105","TCP","80","46744","82","80  >  46744 [PSH, ACK] Seq=3705 Ack=696 Win=31104 Len=16 TSval=372661 TSecr=4192450749 [TCP segment of a reassembled PDU]"
"96","2020-07-17 12:52:40.023642541","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=696 Ack=3721 Win=64128 Len=0 TSval=4192450757 TSecr=372661"
"97","2020-07-17 12:52:40.023753898","192.168.56.104","192.168.56.105","HTTP","80","46744","71","HTTP/1.1 200 OK  (application/json)"
"98","2020-07-17 12:52:40.023760760","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=696 Ack=3726 Win=64128 Len=0 TSval=4192450757 TSecr=372661"
"99","2020-07-17 12:52:40.081500034","192.168.56.105","192.168.56.104","HTTP","46744","80","568","GET /api/account HTTP/1.1 "
"100","2020-07-17 12:52:40.081889140","192.168.56.104","192.168.56.105","TCP","80","46744","66","80  >  46744 [ACK] Seq=3726 Ack=1198 Win=32256 Len=0 TSval=372676 TSecr=4192450814"
"101","2020-07-17 12:52:40.329754392","192.168.56.104","192.168.56.105","TCP","80","46744","1124","80  >  46744 [PSH, ACK] Seq=3726 Ack=1198 Win=32256 Len=1058 TSval=372738 TSecr=4192450814 [TCP segment of a reassembled PDU]"
"102","2020-07-17 12:52:40.329776417","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=1198 Ack=4784 Win=64128 Len=0 TSval=4192451063 TSecr=372738"
"103","2020-07-17 12:52:40.337068946","192.168.56.104","192.168.56.105","TCP","80","46744","82","80  >  46744 [PSH, ACK] Seq=4784 Ack=1198 Win=32256 Len=16 TSval=372740 TSecr=4192451063 [TCP segment of a reassembled PDU]"
"104","2020-07-17 12:52:40.337088984","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=1198 Ack=4800 Win=64128 Len=0 TSval=4192451070 TSecr=372740"
"105","2020-07-17 12:52:40.337110688","192.168.56.104","192.168.56.105","HTTP","80","46744","71","HTTP/1.1 200 OK  (application/json)"
"106","2020-07-17 12:52:40.337113708","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=1198 Ack=4805 Win=64128 Len=0 TSval=4192451070 TSecr=372740"
"107","2020-07-17 12:52:42.132024337","PcsCompu_93:e0:ab","PcsCompu_b7:12:b1","ARP","","","60","Who has 192.168.56.100? Tell 192.168.56.106"
"108","2020-07-17 12:52:42.132052791","PcsCompu_b7:12:b1","PcsCompu_93:e0:ab","ARP","","","60","192.168.56.100 is at 08:00:27:b7:12:b1"
"109","2020-07-17 12:52:44.889109252","192.168.56.105","192.168.56.104","HTTP","46744","80","632","GET /api/customer?page=0&size=20&sort=id,asc&cacheBuster=1595011964875 HTTP/1.1 "
"110","2020-07-17 12:52:44.889746675","192.168.56.104","192.168.56.105","TCP","80","46744","66","80  >  46744 [ACK] Seq=4805 Ack=1764 Win=33408 Len=0 TSval=373878 TSecr=4192455622"
"111","2020-07-17 12:52:44.892480082","192.168.56.105","192.168.56.104","HTTP","46748","80","578","GET /api/account HTTP/1.1 "
"112","2020-07-17 12:52:44.892773044","192.168.56.104","192.168.56.105","TCP","80","46748","66","80  >  46748 [ACK] Seq=1116 Ack=815 Win=31104 Len=0 TSval=373879 TSecr=4192455625"
"113","2020-07-17 12:52:44.957584830","192.168.56.104","192.168.56.105","TCP","80","46748","1124","80  >  46748 [PSH, ACK] Seq=1116 Ack=815 Win=31104 Len=1058 TSval=373895 TSecr=4192455625 [TCP segment of a reassembled PDU]"
"114","2020-07-17 12:52:44.957604190","192.168.56.105","192.168.56.104","TCP","46748","80","66","46748  >  80 [ACK] Seq=815 Ack=2174 Win=64128 Len=0 TSval=4192455691 TSecr=373895"
"115","2020-07-17 12:52:44.965032826","192.168.56.104","192.168.56.105","TCP","80","46748","82","80  >  46748 [PSH, ACK] Seq=2174 Ack=815 Win=31104 Len=16 TSval=373897 TSecr=4192455691 [TCP segment of a reassembled PDU]"
"116","2020-07-17 12:52:44.965061829","192.168.56.105","192.168.56.104","TCP","46748","80","66","46748  >  80 [ACK] Seq=815 Ack=2190 Win=64128 Len=0 TSval=4192455698 TSecr=373897"
"117","2020-07-17 12:52:44.965086279","192.168.56.104","192.168.56.105","HTTP","80","46748","71","HTTP/1.1 200 OK  (application/json)"
"118","2020-07-17 12:52:44.965089280","192.168.56.105","192.168.56.104","TCP","46748","80","66","46748  >  80 [ACK] Seq=815 Ack=2195 Win=64128 Len=0 TSval=4192455698 TSecr=373897"
"119","2020-07-17 12:52:45.182401047","192.168.56.104","192.168.56.105","TCP","80","46744","1323","80  >  46744 [PSH, ACK] Seq=4805 Ack=1764 Win=33408 Len=1257 TSval=373951 TSecr=4192455622 [TCP segment of a reassembled PDU]"
"120","2020-07-17 12:52:45.182428709","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=1764 Ack=6062 Win=64128 Len=0 TSval=4192455915 TSecr=373951"
"121","2020-07-17 12:52:45.193296763","192.168.56.104","192.168.56.105","TCP","80","46744","82","80  >  46744 [PSH, ACK] Seq=6062 Ack=1764 Win=33408 Len=16 TSval=373954 TSecr=4192455915 [TCP segment of a reassembled PDU]"
"122","2020-07-17 12:52:45.193318497","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=1764 Ack=6078 Win=64128 Len=0 TSval=4192455926 TSecr=373954"
"123","2020-07-17 12:52:45.193338348","192.168.56.104","192.168.56.105","HTTP","80","46744","71","HTTP/1.1 200 OK  (application/json)"
"124","2020-07-17 12:52:45.193341314","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=1764 Ack=6083 Win=64128 Len=0 TSval=4192455926 TSecr=373954"
"125","2020-07-17 12:52:49.883703008","192.168.56.105","192.168.56.104","TCP","46746","80","66","[TCP Keep-Alive] 46746  >  80 [ACK] Seq=298 Ack=1068 Win=64128 Len=0 TSval=4192460617 TSecr=372598"
"126","2020-07-17 12:52:49.884083661","192.168.56.104","192.168.56.105","TCP","80","46746","66","[TCP Keep-Alive ACK] 80  >  46746 [ACK] Seq=1068 Ack=299 Win=30080 Len=0 TSval=375126 TSecr=4192440482"
"127","2020-07-17 12:52:51.467911883","192.168.56.105","192.168.56.104","HTTP","46744","80","578","GET /api/account HTTP/1.1 "
"128","2020-07-17 12:52:51.468374855","192.168.56.104","192.168.56.105","TCP","80","46744","66","80  >  46744 [ACK] Seq=6083 Ack=2276 Win=34560 Len=0 TSval=375522 TSecr=4192462201"
"129","2020-07-17 12:52:51.469379478","192.168.56.105","192.168.56.104","HTTP","46748","80","632","GET /api/accounts?page=0&size=20&sort=id,asc&cacheBuster=1595011971456 HTTP/1.1 "
"130","2020-07-17 12:52:51.469831514","192.168.56.104","192.168.56.105","TCP","80","46748","66","80  >  46748 [ACK] Seq=2195 Ack=1381 Win=32256 Len=0 TSval=375523 TSecr=4192462202"
"131","2020-07-17 12:52:51.507898379","192.168.56.104","192.168.56.105","TCP","80","46744","1124","80  >  46744 [PSH, ACK] Seq=6083 Ack=2276 Win=34560 Len=1058 TSval=375532 TSecr=4192462201 [TCP segment of a reassembled PDU]"
"132","2020-07-17 12:52:51.507923404","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=2276 Ack=7141 Win=64128 Len=0 TSval=4192462241 TSecr=375532"
"133","2020-07-17 12:52:51.517700648","192.168.56.104","192.168.56.105","TCP","80","46744","82","80  >  46744 [PSH, ACK] Seq=7141 Ack=2276 Win=34560 Len=16 TSval=375535 TSecr=4192462241 [TCP segment of a reassembled PDU]"
"134","2020-07-17 12:52:51.517725543","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=2276 Ack=7157 Win=64128 Len=0 TSval=4192462251 TSecr=375535"
"135","2020-07-17 12:52:51.517846041","192.168.56.104","192.168.56.105","HTTP","80","46744","71","HTTP/1.1 200 OK  (application/json)"
"136","2020-07-17 12:52:51.517853374","192.168.56.105","192.168.56.104","TCP","46744","80","66","46744  >  80 [ACK] Seq=2276 Ack=7162 Win=64128 Len=0 TSval=4192462251 TSecr=375535"
"137","2020-07-17 12:52:51.651230929","192.168.56.104","192.168.56.105","TCP","80","46748","1309","80  >  46748 [PSH, ACK] Seq=2195 Ack=1381 Win=32256 Len=1243 TSval=375568 TSecr=4192462202 [TCP segment of a reassembled PDU]"
"138","2020-07-17 12:52:51.651248778","192.168.56.105","192.168.56.104","TCP","46748","80","66","46748  >  80 [ACK] Seq=1381 Ack=3438 Win=64128 Len=0 TSval=4192462384 TSecr=375568"
"139","2020-07-17 12:52:51.658067042","192.168.56.104","192.168.56.105","TCP","80","46748","82","80  >  46748 [PSH, ACK] Seq=3438 Ack=1381 Win=32256 Len=16 TSval=375570 TSecr=4192462384 [TCP segment of a reassembled PDU]"
"140","2020-07-17 12:52:51.658124456","192.168.56.105","192.168.56.104","TCP","46748","80","66","46748  >  80 [ACK] Seq=1381 Ack=3454 Win=64128 Len=0 TSval=4192462391 TSecr=375570"
"141","2020-07-17 12:52:51.658179799","192.168.56.104","192.168.56.105","HTTP","80","46748","71","HTTP/1.1 200 OK  (application/json)"
