"No.","Time","Source","Destination","Protocol","Length","Info","Source Port","Dest Port"
"27","1595013126.018","192.168.56.104","192.168.56.105","TCP","74","80  >  46818 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=59635 TSecr=4193616751 WS=128","80","46818"
"28","1595013126.018","192.168.56.105","192.168.56.104","TCP","66","46818  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4193616751 TSecr=59635","46818","80"
"29","1595013126.018","192.168.56.105","192.168.56.104","HTTP","375","GET /content/main.2217590b5cc5d0b62058.css HTTP/1.1 ","46818","80"
"30","1595013126.018","192.168.56.104","192.168.56.105","TCP","66","80  >  46818 [ACK] Seq=1 Ack=310 Win=30080 Len=0 TSval=59635 TSecr=4193616751","80","46818"
"31","1595013126.024","192.168.56.105","192.168.56.104","TCP","66","46818  >  80 [FIN, ACK] Seq=310 Ack=1 Win=64256 Len=0 TSval=4193616758 TSecr=59635","46818","80"
"32","1595013126.025","192.168.56.105","192.168.56.104","TCP","74","46820  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4193616758 TSecr=0 WS=128","46820","80"
"33","1595013126.025","192.168.56.104","192.168.56.105","TCP","74","80  >  46820 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=59637 TSecr=4193616758 WS=128","80","46820"
"34","1595013126.025","192.168.56.105","192.168.56.104","TCP","66","46820  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4193616759 TSecr=59637","46820","80"
"35","1595013126.025","192.168.56.105","192.168.56.104","TCP","66","46820  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4193616759 TSecr=59637","46820","80"
"36","1595013126.029","192.168.56.104","192.168.56.105","TCP","66","80  >  46820 [ACK] Seq=1 Ack=2 Win=29056 Len=0 TSval=59638 TSecr=4193616759","80","46820"
"37","1595013126.029","192.168.56.104","192.168.56.105","TCP","66","80  >  46820 [FIN, ACK] Seq=1 Ack=2 Win=29056 Len=0 TSval=59638 TSecr=4193616759","80","46820"
"38","1595013126.029","192.168.56.105","192.168.56.104","TCP","66","46820  >  80 [ACK] Seq=2 Ack=2 Win=64256 Len=0 TSval=4193616763 TSecr=59638","46820","80"
"39","1595013126.052","192.168.56.104","192.168.56.105","HTTP","1099","HTTP/1.1 200 OK  (text/css)","80","46814"
"40","1595013126.052","192.168.56.105","192.168.56.104","TCP","54","46814  >  80 [RST] Seq=611 Win=0 Len=0","46814","80"
"41","1595013126.065","192.168.56.104","192.168.56.105","TCP","66","80  >  46818 [ACK] Seq=1 Ack=311 Win=30080 Len=0 TSval=59647 TSecr=4193616758","80","46818"
"42","1595013126.111","192.168.56.104","192.168.56.105","TCP","14546","80  >  46818 [ACK] Seq=1 Ack=311 Win=30080 Len=14480 TSval=59658 TSecr=4193616758 [TCP segment of a reassembled PDU]","80","46818"
"43","1595013126.111","192.168.56.105","192.168.56.104","TCP","54","46818  >  80 [RST] Seq=311 Win=0 Len=0","46818","80"
"44","1595013126.508","192.168.56.105","192.168.56.104","TCP","74","46822  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4193617242 TSecr=0 WS=128","46822","80"
"45","1595013126.508","192.168.56.104","192.168.56.105","TCP","74","80  >  46822 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=59758 TSecr=4193617242 WS=128","80","46822"
"46","1595013126.509","192.168.56.105","192.168.56.104","TCP","66","46822  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4193617242 TSecr=59758","46822","80"
"47","1595013126.509","192.168.56.105","192.168.56.104","HTTP","312","GET /favicon.ico HTTP/1.1 ","46822","80"
"48","1595013126.509","192.168.56.104","192.168.56.105","TCP","66","80  >  46822 [ACK] Seq=1 Ack=247 Win=30080 Len=0 TSval=59758 TSecr=4193617242","80","46822"
"49","1595013126.536","192.168.56.105","192.168.56.104","TCP","74","46824  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4193617269 TSecr=0 WS=128","46824","80"
"50","1595013126.536","192.168.56.104","192.168.56.105","TCP","74","80  >  46824 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=59764 TSecr=4193617269 WS=128","80","46824"
"51","1595013126.536","192.168.56.105","192.168.56.104","TCP","66","46824  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4193617269 TSecr=59764","46824","80"
"52","1595013126.537","192.168.56.105","192.168.56.104","HTTP","364","GET /api/account HTTP/1.1 ","46824","80"
"53","1595013126.537","192.168.56.104","192.168.56.105","TCP","66","80  >  46824 [ACK] Seq=1 Ack=299 Win=30080 Len=0 TSval=59765 TSecr=4193617270","80","46824"
"54","1595013126.546","192.168.56.105","192.168.56.104","TCP","74","46826  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4193617280 TSecr=0 WS=128","46826","80"
"55","1595013126.547","192.168.56.104","192.168.56.105","TCP","74","80  >  46826 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=59767 TSecr=4193617280 WS=128","80","46826"
"56","1595013126.547","192.168.56.105","192.168.56.104","TCP","66","46826  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4193617280 TSecr=59767","46826","80"
"57","1595013126.547","192.168.56.105","192.168.56.104","HTTP","368","GET /management/info HTTP/1.1 ","46826","80"
"58","1595013126.547","192.168.56.104","192.168.56.105","TCP","66","80  >  46826 [ACK] Seq=1 Ack=303 Win=30080 Len=0 TSval=59767 TSecr=4193617280","80","46826"
"59","1595013126.677","192.168.56.104","192.168.56.105","HTTP","2519","HTTP/1.1 200 OK  (PNG)","80","46822"
"60","1595013126.677","192.168.56.105","192.168.56.104","TCP","66","46822  >  80 [ACK] Seq=247 Ack=2454 Win=63488 Len=0 TSval=4193617411 TSecr=59800","46822","80"
"61","1595013127.108","192.168.56.104","192.168.56.105","TCP","1160","80  >  46826 [PSH, ACK] Seq=1 Ack=303 Win=30080 Len=1094 TSval=59908 TSecr=4193617280 [TCP segment of a reassembled PDU]","80","46826"
"62","1595013127.108","192.168.56.105","192.168.56.104","TCP","66","46826  >  80 [ACK] Seq=303 Ack=1095 Win=64128 Len=0 TSval=4193617842 TSecr=59908","46826","80"
"63","1595013127.125","192.168.56.104","192.168.56.105","TCP","82","80  >  46826 [PSH, ACK] Seq=1095 Ack=303 Win=30080 Len=16 TSval=59911 TSecr=4193617842 [TCP segment of a reassembled PDU]","80","46826"
"64","1595013127.125","192.168.56.105","192.168.56.104","TCP","66","46826  >  80 [ACK] Seq=303 Ack=1111 Win=64128 Len=0 TSval=4193617858 TSecr=59911","46826","80"
"65","1595013127.133","192.168.56.104","192.168.56.105","HTTP","71","HTTP/1.1 200 OK  (application/json)","80","46826"
"66","1595013127.133","192.168.56.105","192.168.56.104","TCP","66","46826  >  80 [ACK] Seq=303 Ack=1116 Win=64128 Len=0 TSval=4193617867 TSecr=59914","46826","80"
"67","1595013127.146","192.168.56.104","192.168.56.105","TCP","1128","80  >  46824 [PSH, ACK] Seq=1 Ack=299 Win=30080 Len=1062 TSval=59917 TSecr=4193617270 [TCP segment of a reassembled PDU]","80","46824"
"68","1595013127.146","192.168.56.105","192.168.56.104","TCP","66","46824  >  80 [ACK] Seq=299 Ack=1063 Win=64128 Len=0 TSval=4193617879 TSecr=59917","46824","80"
"69","1595013127.152","192.168.56.104","192.168.56.105","HTTP","71","HTTP/1.1 401 Unauthorized  (application/problem+json)","80","46824"
"70","1595013127.152","192.168.56.105","192.168.56.104","TCP","66","46824  >  80 [ACK] Seq=299 Ack=1068 Win=64128 Len=0 TSval=4193617886 TSecr=59919","46824","80"
"71","1595013136.731","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46822  >  80 [ACK] Seq=246 Ack=2454 Win=64128 Len=0 TSval=4193627464 TSecr=59800","46822","80"
"72","1595013136.731","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46822 [ACK] Seq=2454 Ack=247 Win=30080 Len=0 TSval=62313 TSecr=4193617411","80","46822"
"73","1595013137.147","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46826  >  80 [ACK] Seq=302 Ack=1116 Win=64128 Len=0 TSval=4193627881 TSecr=59914","46826","80"
"74","1595013137.148","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46826 [ACK] Seq=1116 Ack=303 Win=30080 Len=0 TSval=62417 TSecr=4193617867","80","46826"
"75","1595013137.183","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46824  >  80 [ACK] Seq=298 Ack=1068 Win=64128 Len=0 TSval=4193627917 TSecr=59919","46824","80"
"76","1595013137.184","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46824 [ACK] Seq=1068 Ack=299 Win=30080 Len=0 TSval=62426 TSecr=4193617886","80","46824"
"77","1595013140.911","192.168.56.105","192.168.56.104","HTTP","368","GET /api/account HTTP/1.1 ","46822","80"
"78","1595013140.911","192.168.56.104","192.168.56.105","TCP","66","80  >  46822 [ACK] Seq=2454 Ack=549 Win=31104 Len=0 TSval=63358 TSecr=4193631644","80","46822"
"79","1595013140.913","192.168.56.105","192.168.56.104","HTTP","418","GET /api/news?page=0&size=20&sort=id,asc&cacheBuster=1595013140906 HTTP/1.1 ","46826","80"
"80","1595013140.913","192.168.56.104","192.168.56.105","TCP","66","80  >  46826 [ACK] Seq=1116 Ack=655 Win=31104 Len=0 TSval=63359 TSecr=4193631647","80","46826"
"81","1595013140.941","192.168.56.104","192.168.56.105","TCP","1128","80  >  46822 [PSH, ACK] Seq=2454 Ack=549 Win=31104 Len=1062 TSval=63366 TSecr=4193631644 [TCP segment of a reassembled PDU]","80","46822"
"82","1595013140.941","192.168.56.105","192.168.56.104","TCP","66","46822  >  80 [ACK] Seq=549 Ack=3516 Win=64128 Len=0 TSval=4193631675 TSecr=63366","46822","80"
"83","1595013140.950","192.168.56.104","192.168.56.105","HTTP","71","HTTP/1.1 401 Unauthorized  (application/problem+json)","80","46822"
"84","1595013140.950","192.168.56.105","192.168.56.104","TCP","66","46822  >  80 [ACK] Seq=549 Ack=3521 Win=64128 Len=0 TSval=4193631683 TSecr=63368","46822","80"
"85","1595013141.314","192.168.56.104","192.168.56.105","TCP","4199","80  >  46826 [PSH, ACK] Seq=1116 Ack=655 Win=31104 Len=4133 TSval=63459 TSecr=4193631647 [TCP segment of a reassembled PDU]","80","46826"
"86","1595013141.314","192.168.56.105","192.168.56.104","TCP","66","46826  >  80 [ACK] Seq=655 Ack=5249 Win=62592 Len=0 TSval=4193632047 TSecr=63459","46826","80"
"87","1595013141.323","192.168.56.104","192.168.56.105","TCP","82","80  >  46826 [PSH, ACK] Seq=5249 Ack=655 Win=31104 Len=16 TSval=63461 TSecr=4193632047 [TCP segment of a reassembled PDU]","80","46826"
"88","1595013141.323","192.168.56.105","192.168.56.104","TCP","66","46826  >  80 [ACK] Seq=655 Ack=5265 Win=64128 Len=0 TSval=4193632057 TSecr=63461","46826","80"
"89","1595013141.323","192.168.56.104","192.168.56.105","HTTP","71","HTTP/1.1 200 OK  (application/json)","80","46826"
"90","1595013141.323","192.168.56.105","192.168.56.104","TCP","66","46826  >  80 [ACK] Seq=655 Ack=5270 Win=64128 Len=0 TSval=4193632057 TSecr=63461","46826","80"
"91","1595013147.232","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46824  >  80 [ACK] Seq=298 Ack=1068 Win=64128 Len=0 TSval=4193637966 TSecr=62426","46824","80"
"92","1595013147.233","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46824 [ACK] Seq=1068 Ack=299 Win=30080 Len=0 TSval=64939 TSecr=4193617886","80","46824"
"93","1595013151.079","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46822  >  80 [ACK] Seq=548 Ack=3521 Win=64128 Len=0 TSval=4193641813 TSecr=63368","46822","80"
"94","1595013151.081","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46822 [ACK] Seq=3521 Ack=549 Win=31104 Len=0 TSval=65900 TSecr=4193631683","80","46822"
"95","1595013151.579","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46826  >  80 [ACK] Seq=654 Ack=5270 Win=64128 Len=0 TSval=4193642312 TSecr=63461","46826","80"
"96","1595013151.579","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46826 [ACK] Seq=5270 Ack=655 Win=31104 Len=0 TSval=66025 TSecr=4193632057","80","46826"
"97","1595013152.890","192.168.56.104","192.168.56.100","DHCP","342","DHCP Request  - Transaction ID 0x3e270655","68","67"
"98","1595013152.926","192.168.56.100","192.168.56.104","DHCP","590","DHCP ACK      - Transaction ID 0x3e270655","67","68"
"99","1595013157.467","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46824  >  80 [ACK] Seq=298 Ack=1068 Win=64128 Len=0 TSval=4193648201 TSecr=64939","46824","80"
"100","1595013157.468","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46824 [ACK] Seq=1068 Ack=299 Win=30080 Len=0 TSval=67497 TSecr=4193617886","80","46824"
"101","1595013157.893","PcsCompu_6c:9b:66","PcsCompu_b7:12:b1","ARP","60","Who has 192.168.56.100? Tell 192.168.56.104","",""
"102","1595013157.893","PcsCompu_b7:12:b1","PcsCompu_6c:9b:66","ARP","60","192.168.56.100 is at 08:00:27:b7:12:b1","",""
"103","1595013161.308","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46822  >  80 [ACK] Seq=548 Ack=3521 Win=64128 Len=0 TSval=4193652041 TSecr=65900","46822","80"
"104","1595013161.309","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46822 [ACK] Seq=3521 Ack=549 Win=31104 Len=0 TSval=68457 TSecr=4193631683","80","46822"
"105","1595013161.820","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46826  >  80 [ACK] Seq=654 Ack=5270 Win=64128 Len=0 TSval=4193652553 TSecr=66025","46826","80"
"106","1595013161.821","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46826 [ACK] Seq=5270 Ack=655 Win=31104 Len=0 TSval=68586 TSecr=4193632057","80","46826"
"107","1595013167.707","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46824  >  80 [ACK] Seq=298 Ack=1068 Win=64128 Len=0 TSval=4193658440 TSecr=67497","46824","80"
"108","1595013167.708","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46824 [ACK] Seq=1068 Ack=299 Win=30080 Len=0 TSval=70057 TSecr=4193617886","80","46824"
"109","1595013171.548","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46822  >  80 [ACK] Seq=548 Ack=3521 Win=64128 Len=0 TSval=4193662281 TSecr=68457","46822","80"
"110","1595013171.549","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46822 [ACK] Seq=3521 Ack=549 Win=31104 Len=0 TSval=71017 TSecr=4193631683","80","46822"
"111","1595013172.063","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46826  >  80 [ACK] Seq=654 Ack=5270 Win=64128 Len=0 TSval=4193662797 TSecr=68586","46826","80"
"112","1595013172.064","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46826 [ACK] Seq=5270 Ack=655 Win=31104 Len=0 TSval=71146 TSecr=4193632057","80","46826"
"113","1595013177.947","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46824  >  80 [ACK] Seq=298 Ack=1068 Win=64128 Len=0 TSval=4193668680 TSecr=70057","46824","80"
"114","1595013177.947","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46824 [ACK] Seq=1068 Ack=299 Win=30080 Len=0 TSval=72617 TSecr=4193617886","80","46824"
"115","1595013181.787","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46822  >  80 [ACK] Seq=548 Ack=3521 Win=64128 Len=0 TSval=4193672520 TSecr=71017","46822","80"
"116","1595013181.788","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46822 [ACK] Seq=3521 Ack=549 Win=31104 Len=0 TSval=73577 TSecr=4193631683","80","46822"
"117","1595013182.299","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46826  >  80 [ACK] Seq=654 Ack=5270 Win=64128 Len=0 TSval=4193673033 TSecr=71146","46826","80"
"118","1595013182.301","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46826 [ACK] Seq=5270 Ack=655 Win=31104 Len=0 TSval=73705 TSecr=4193632057","80","46826"
"119","1595013187.205","192.168.56.104","192.168.56.105","TCP","66","80  >  46824 [FIN, ACK] Seq=1068 Ack=299 Win=30080 Len=0 TSval=74931 TSecr=4193617886","80","46824"
"120","1595013187.206","192.168.56.105","192.168.56.104","TCP","66","46824  >  80 [FIN, ACK] Seq=299 Ack=1069 Win=64128 Len=0 TSval=4193677939 TSecr=74931","46824","80"
"121","1595013187.207","192.168.56.104","192.168.56.105","TCP","66","80  >  46824 [ACK] Seq=1069 Ack=300 Win=30080 Len=0 TSval=74932 TSecr=4193677939","80","46824"
"122","1595013192.027","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46822  >  80 [ACK] Seq=548 Ack=3521 Win=64128 Len=0 TSval=4193682761 TSecr=73577","46822","80"
"123","1595013192.028","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46822 [ACK] Seq=3521 Ack=549 Win=31104 Len=0 TSval=76137 TSecr=4193631683","80","46822"
"124","1595013192.286","PcsCompu_74:73:8a","PcsCompu_6c:9b:66","ARP","42","Who has 192.168.56.104? Tell 192.168.56.105","",""
"125","1595013192.287","PcsCompu_6c:9b:66","PcsCompu_74:73:8a","ARP","60","192.168.56.104 is at 08:00:27:6c:9b:66","",""
"126","1595013192.539","192.168.56.105","192.168.56.104","TCP","66","[TCP Keep-Alive] 46826  >  80 [ACK] Seq=654 Ack=5270 Win=64128 Len=0 TSval=4193683273 TSecr=73705","46826","80"
"127","1595013192.540","192.168.56.104","192.168.56.105","TCP","66","[TCP Keep-Alive ACK] 80  >  46826 [ACK] Seq=5270 Ack=655 Win=31104 Len=0 TSval=76265 TSecr=4193632057","80","46826"
"128","1595013201.016","192.168.56.104","192.168.56.105","TCP","66","80  >  46822 [FIN, ACK] Seq=3521 Ack=549 Win=31104 Len=0 TSval=78384 TSecr=4193631683","80","46822"
"129","1595013201.016","192.168.56.105","192.168.56.104","TCP","66","46822  >  80 [FIN, ACK] Seq=549 Ack=3522 Win=64128 Len=0 TSval=4193691749 TSecr=78384","46822","80"
"130","1595013201.017","192.168.56.104","192.168.56.105","TCP","66","80  >  46822 [ACK] Seq=3522 Ack=550 Win=31104 Len=0 TSval=78385 TSecr=4193691749","80","46822"
"131","1595013201.376","192.168.56.104","192.168.56.105","TCP","66","80  >  46826 [FIN, ACK] Seq=5270 Ack=655 Win=31104 Len=0 TSval=78474 TSecr=4193632057","80","46826"
"132","1595013201.376","192.168.56.105","192.168.56.104","TCP","66","46826  >  80 [FIN, ACK] Seq=655 Ack=5271 Win=64128 Len=0 TSval=4193692110 TSecr=78474","46826","80"
"133","1595013201.378","192.168.56.104","192.168.56.105","TCP","66","80  >  46826 [ACK] Seq=5271 Ack=656 Win=31104 Len=0 TSval=78475 TSecr=4193692110","80","46826"
"134","1595013254.475","192.168.56.1","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 ","53300","1900"
"135","1595013255.478","192.168.56.1","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 ","53300","1900"
"136","1595013256.479","192.168.56.1","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 ","53300","1900"
"137","1595013257.485","192.168.56.1","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 ","53300","1900"
"138","1595013268.671","192.168.56.105","192.168.56.104","TCP","54","1234  >  80 [SYN] Seq=0 Win=512 Len=0","1234","80"
"139","1595013268.671","192.168.56.105","192.168.56.104","TCP","54","1235  >  80 [SYN] Seq=0 Win=512 Len=0","1235","80"
"140","1595013268.671","192.168.56.105","192.168.56.104","TCP","54","[TCP Port numbers reused] 1235  >  80 [SYN] Seq=0 Win=512 Len=0","1235","80"
"141","1595013268.671","192.168.56.105","192.168.56.104","TCP","54","1236  >  80 [SYN] Seq=0 Win=512 Len=0","1236","80"
"142","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1237  >  80 [SYN] Seq=0 Win=512 Len=0","1237","80"
"143","1595013268.672","192.168.56.104","192.168.56.105","TCP","60","80  >  1234 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460","80","1234"
"144","1595013268.672","192.168.56.104","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 80  >  1235 [SYN, ACK] Seq=0 Ack=1775493786 Win=29200 Len=0 MSS=1460","80","1235"
"145","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1234  >  80 [RST] Seq=1 Win=0 Len=0","1234","80"
"146","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1235  >  80 [RST] Seq=1775493786 Win=0 Len=0","1235","80"
"147","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1238  >  80 [SYN] Seq=0 Win=512 Len=0","1238","80"
"148","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1239  >  80 [SYN] Seq=0 Win=512 Len=0","1239","80"
"149","1595013268.672","192.168.56.104","192.168.56.105","TCP","60","[TCP Dup ACK 144#1] [TCP ACKed unseen segment] 80  >  1235 [ACK] Seq=1 Ack=1775493786 Win=29200 Len=0","80","1235"
"150","1595013268.672","192.168.56.104","192.168.56.105","TCP","60","80  >  1236 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460","80","1236"
"151","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1235  >  80 [RST] Seq=1775493786 Win=0 Len=0","1235","80"
"152","1595013268.672","192.168.56.104","192.168.56.105","TCP","60","80  >  1237 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460","80","1237"
"153","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1236  >  80 [RST] Seq=1 Win=0 Len=0","1236","80"
"154","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1237  >  80 [RST] Seq=1 Win=0 Len=0","1237","80"
"155","1595013268.672","192.168.56.104","192.168.56.105","TCP","60","80  >  1238 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460","80","1238"
"156","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1238  >  80 [RST] Seq=1 Win=0 Len=0","1238","80"
"157","1595013268.672","192.168.56.105","192.168.56.104","TCP","54","1241  >  80 [SYN] Seq=0 Win=512 Len=0","1241","80"
