"No.","Time","Source","Destination","Protocol","Length","Info","Source Port","Dest Port"
"135","1594608916.692081765","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"136","1594608916.692385221","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"137","1594608916.692462429","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2906 Ack=4821 Win=38272 Len=0 TSval=2065629 TSecr=2066221","60348","22"
"138","1594608917.532228766","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"139","1594608917.532609974","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"140","1594608917.532789248","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2942 Ack=4857 Win=38272 Len=0 TSval=2065839 TSecr=2066431","60348","22"
"141","1594608917.997376128","192.168.56.102","192.168.56.100","DHCP","342","DHCP Request  - Transaction ID 0xb97ed617","68","67"
"142","1594608918.015879649","192.168.56.100","192.168.56.102","DHCP","590","DHCP ACK      - Transaction ID 0xb97ed617","67","68"
"143","1594608918.172407000","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"144","1594608918.172730729","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"145","1594608918.172894359","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2978 Ack=4893 Win=38272 Len=0 TSval=2065999 TSecr=2066591","60348","22"
"146","1594608918.872265841","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"147","1594608918.872579962","192.168.56.101","192.168.56.102","SSHv2","110","Server: Encrypted packet (len=44)","22","60348"
"148","1594608918.872775992","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3014 Ack=4937 Win=38272 Len=0 TSval=2066174 TSecr=2066766","60348","22"
"149","1594608919.352215836","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"150","1594608919.352730320","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"151","1594608919.352941471","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3050 Ack=4973 Win=38272 Len=0 TSval=2066295 TSecr=2066886","60348","22"
"152","1594608919.732845621","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"153","1594608919.733257472","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"154","1594608919.733419585","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3086 Ack=5009 Win=38272 Len=0 TSval=2066390 TSecr=2066981","60348","22"
"155","1594608919.733653425","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"156","1594608919.733834300","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3086 Ack=5069 Win=38272 Len=0 TSval=2066390 TSecr=2066981","60348","22"
"157","1594608923.005273501","PcsCompu_af:7b:18","PcsCompu_77:ba:13","ARP","60","Who has 192.168.56.100? Tell 192.168.56.102","",""
"158","1594608923.005280976","PcsCompu_77:ba:13","PcsCompu_af:7b:18","ARP","60","192.168.56.100 is at 08:00:27:77:ba:13","",""
"159","1594608926.952489626","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"160","1594608926.952816621","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"161","1594608926.953015371","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3122 Ack=5105 Win=38272 Len=0 TSval=2068195 TSecr=2068786","60348","22"
"162","1594608927.072296638","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"163","1594608927.072564889","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"164","1594608927.072674015","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3158 Ack=5141 Win=38272 Len=0 TSval=2068224 TSecr=2068816","60348","22"
"165","1594608927.082934572","192.168.56.104","192.168.56.100","DHCP","342","DHCP Request  - Transaction ID 0x1e8caf0b","68","67"
"166","1594608927.123053633","192.168.56.100","192.168.56.104","DHCP","590","DHCP ACK      - Transaction ID 0x1e8caf0b","67","68"
"167","1594608927.452121333","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"168","1594608927.452514658","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"169","1594608927.452633439","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3194 Ack=5177 Win=38272 Len=0 TSval=2068319 TSecr=2068911","60348","22"
"170","1594608927.602222485","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"171","1594608927.602609738","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"172","1594608927.602833909","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3230 Ack=5213 Win=38272 Len=0 TSval=2068357 TSecr=2068948","60348","22"
"173","1594608928.222165583","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"174","1594608928.222592589","192.168.56.101","192.168.56.102","SSHv2","110","Server: Encrypted packet (len=44)","22","60348"
"175","1594608928.223158611","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3266 Ack=5257 Win=38272 Len=0 TSval=2068512 TSecr=2069103","60348","22"
"176","1594608928.432098003","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"177","1594608928.432493780","192.168.56.101","192.168.56.102","SSHv2","110","Server: Encrypted packet (len=44)","22","60348"
"178","1594608928.432673746","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3302 Ack=5301 Win=38272 Len=0 TSval=2068564 TSecr=2069156","60348","22"
"179","1594608928.642075783","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"180","1594608928.642422831","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"181","1594608928.642544972","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3338 Ack=5337 Win=38272 Len=0 TSval=2068617 TSecr=2069208","60348","22"
"182","1594608929.222020224","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"183","1594608929.222406045","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"184","1594608929.222487508","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3374 Ack=5373 Win=38272 Len=0 TSval=2068762 TSecr=2069353","60348","22"
"185","1594608929.372148699","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"186","1594608929.372467128","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"187","1594608929.372691080","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3410 Ack=5409 Win=38272 Len=0 TSval=2068799 TSecr=2069391","60348","22"
"188","1594608929.592104113","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"189","1594608929.592425874","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"190","1594608929.592619261","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3446 Ack=5445 Win=38272 Len=0 TSval=2068854 TSecr=2069446","60348","22"
"191","1594608929.932122380","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"192","1594608929.932568888","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"193","1594608929.932715015","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=3482 Ack=5505 Win=38272 Len=0 TSval=2068939 TSecr=2069531","60348","22"
"194","1594608932.095575927","PcsCompu_6c:9b:66","PcsCompu_77:ba:13","ARP","60","Who has 192.168.56.100? Tell 192.168.56.104","",""
